"Consent Statement
By proceeding this survey, you confirm that you have read and understood the information provided above. You voluntarily agree to participate in this study and acknowledge that you may withdraw at any time without penalty. If you agree to participate, please select “Agree” below to begin the survey.",Please choose your gender,Please select your age,Please choose your race,Please choose your major in university,"I am familiar with the concept of AI in the finance sector. (e.g., fraud detection, AI chatbots)",I feel confident in understanding how AI-powered financial tools work.,I believe better financial decisions can be made with the help of AI.,I believe AI has a significant impact on the finance sector.,I think AI implementation in finance contributes positively to the finance sector.,I think AI provides innovative solutions to financial challenges.,I think AI implementation in finance will increase the speed and efficiency of task execution.,"I often use AI-powered tools (e.g., digital banks, and robo-advisors) in my financial activities.",I found that AI-powered financial tools are easy to use.,I am able to complete financial transactions faster using AI-powered financial tools compared to traditional methods.,I am more willing to use AI-powered financial tools.,I trust using AI-powered financial tools will not violate my privacy.,I feel secure when providing my personal financial information to AI-powered financial tools.,I am confident to learn and adapt to AI-powered financial tools for optimizing financial processes. ,I will recommend AI-powered financial tools to my relatives or friends.,I believe there are risks associated with AI ethics in finance.,I am concerned about potential biases in AI algorithms used in finance.,I am concerned about data privacy when using AI-powered financial tools. ,I am concerned that AI algorithm does not clearly explain how it makes decisions. ,I think current regulations are not sufficient to address ethical concern.,I do not fully trust AI systems to make ethical decisions in finance.,I am concerned that AI systems may misuse my personal data.,I think AI is more beneficial to the finance industry.,I think AI in finance has more benefits than risks. ,I am willing to continue using AI-powered financial tools.,I would recommend the use of AI tools for financial decision-making.,I believe AI tools are essential for the future of the financial sector.
Agree,Female,22--25,Chinese,Information Technology (IT),4,4,5,5,4,5,5,4,5,5,5,3,4,5,5,4,4,5,2,4,5,5,5,5,5,5,5
Agree,Female,18--21,Chinese,Information Technology (IT),3,3,3,5,5,5,5,3,4,4,4,3,3,5,5,5,5,5,5,5,3,5,5,5,5,5,5
Agree,Female,22--25,Chinese,Information Technology (IT),3,3,5,5,5,5,5,3,4,5,5,2,2,5,3,4,4,4,4,5,5,4,3,4,4,5,5
Agree,Male,18--21,Chinese,Information Technology (IT),3,3,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,3,3,4,4,3,4,4,4
Agree,Male,26--29,Indian,Engineering,5,4,5,4,4,5,5,5,4,4,4,5,5,4,5,5,4,5,5,4,4,4,5,5,4,5,4
Agree,Male,22--25,Indian,Information Technology (IT),5,5,5,4,4,4,4,5,5,4,4,4,3,4,3,4,4,4,4,4,4,4,3,3,3,3,3
Agree,Female,22--25,Chinese,Information Technology (IT),4,3,4,4,3,4,3,2,2,2,3,3,3,3,3,4,3,4,4,3,5,5,3,3,2,3,3
Agree,Male,18--21,Sudan ,Information Technology (IT),3,3,5,5,4,3,4,3,4,4,4,1,2,2,3,5,4,5,4,3,4,5,3,2,2,3,3
Agree,Female,22--25,Chinese,Business,5,5,5,5,5,5,5,5,5,5,5,4,4,5,5,3,3,4,4,4,4,4,5,5,5,5,5
Agree,Female,22--25,Chinese,Information Technology (IT),4,3,5,4,4,5,5,4,4,5,4,2,3,4,4,4,4,5,4,4,4,5,4,5,5,4,5
Agree,Male,22--25,Chinese,Information Technology (IT),3,3,4,4,4,4,4,3,3,4,4,2,2,4,3,3,4,3,3,4,4,4,4,4,4,4,4
Agree,Male,30 and above,Chinese,Information Technology (IT),2,1,5,4,4,3,3,4,3,4,5,4,2,2,3,4,4,3,3,2,4,5,3,4,3,2,4
Agree,Female,22--25,Chinese,Information Technology (IT),3,2,4,5,5,5,5,4,4,5,4,3,2,4,4,3,3,3,3,3,2,3,4,4,4,4,4
Agree,Female,26--29,Malay,Business,4,5,5,5,5,5,5,4,4,4,5,2,2,5,4,5,5,5,5,5,5,5,4,4,5,4,5
Agree,Male,30 and above,Malay,Business,5,5,5,5,5,5,5,4,4,4,5,1,2,4,4,5,4,5,4,5,5,5,5,5,4,5,5
Agree,Female,22--25,Chinese,Law,5,4,4,4,4,4,4,4,4,4,4,2,2,4,4,4,4,4,4,4,4,4,4,2,4,4,4
Agree,Female,22--25,Chinese,Information Technology (IT),5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Agree,Female,22--25,Chinese,Information Technology (IT),2,2,4,4,4,3,4,2,2,2,4,3,3,3,4,3,2,3,4,3,3,3,4,4,4,4,4
Agree,Male,22--25,Chinese,Information Technology (IT),3,4,5,5,4,5,5,4,4,5,4,3,3,4,5,4,4,4,3,2,3,4,4,5,4,4,5
Agree,Female,18--21,Chinese,Multimedia,5,4,4,4,3,4,4,3,4,4,4,3,3,4,3,3,4,4,4,3,3,4,3,3,3,3,4
Agree,Female,22--25,Chinese,Business,4,3,4,4,4,4,5,3,4,4,5,3,2,4,3,4,4,5,4,4,5,4,4,4,4,4,4
Agree,Male,18--21,Chinese,Business,4,4,5,5,4,5,5,5,5,4,5,5,5,5,5,4,4,4,4,4,4,4,5,4,5,5,5
Agree,Female,30 and above,Malay,Business,5,4,5,5,5,4,5,4,5,5,5,4,4,4,5,4,4,4,2,4,5,4,5,5,5,5,5
Agree,Male,18--21,Chinese,Engineering,3,4,4,5,4,5,4,4,5,5,4,3,3,4,4,5,5,5,5,5,4,5,4,5,4,5,5
Agree,Male,22--25,Chinese,Information Technology (IT),4,4,3,3,3,5,5,1,3,3,2,2,2,2,2,5,5,5,4,4,5,5,3,3,3,3,3
